number,value,datetime_start,datetime_complete,duration,params_max_lr,params_min_lr_factor,params_warmup_steps,params_weight_decay,state
0,,2026-05-03 16:32:34.070622,2026-05-03 16:32:38.429820,0 days 00:00:04.359198,0.001244609537876194,0.08138548366433951,30,0.019220438277537194,FAIL
1,5.0977754354476925,2026-05-03 16:35:10.387058,2026-05-03 16:36:57.961393,0 days 00:01:47.574335,0.0005716778888384353,0.06980793973030179,40,0.1390225043089595,COMPLETE
2,4.936933207511902,2026-05-03 16:36:57.977573,2026-05-03 16:38:21.934904,0 days 00:01:23.957331,0.0004089991412100349,0.07629266052561909,92,0.10616262645877578,COMPLETE
3,5.613196396827698,2026-05-03 16:38:21.946400,2026-05-03 16:39:46.007559,0 days 00:01:24.061159,0.0019694879227131895,0.02724882558894224,35,0.18665553965314777,COMPLETE
4,5.152375721931458,2026-05-03 16:39:46.017960,2026-05-03 16:41:10.115806,0 days 00:01:24.097846,0.000298637106071355,0.0810346748755827,56,0.09156214149008503,COMPLETE
5,4.874305248260498,2026-05-03 16:41:10.125749,2026-05-03 16:42:34.187178,0 days 00:01:24.061429,0.0006284497638140599,0.022500523035564216,88,0.020409126826236846,COMPLETE
6,0.7003949284553528,2026-05-03 16:42:34.199043,2026-05-03 16:43:09.033943,0 days 00:00:34.834900,0.001619419043000398,0.08541930792934752,66,0.16081414937626073,PRUNED
7,0.6999115347862244,2026-05-03 16:43:09.040799,2026-05-03 16:43:43.903034,0 days 00:00:34.862235,0.0015826136899357555,0.04496349398213823,70,0.17104365910537866,PRUNED
8,0.988764226436615,2026-05-03 16:43:43.909547,2026-05-03 16:44:02.368302,0 days 00:00:18.458755,0.00010063735110279288,0.04072954845053811,64,0.04256309134017895,PRUNED
9,0.8829114437103271,2026-05-03 16:44:02.378488,2026-05-03 16:44:20.815493,0 days 00:00:18.437005,0.00017110383805596426,0.04354769567165322,56,0.18750025595072062,PRUNED
10,0.715497612953186,2026-05-03 16:44:20.823293,2026-05-03 16:44:55.726561,0 days 00:00:34.903268,0.0001785168062254161,0.039921220066560945,23,0.1966141758789211,PRUNED
11,0.6920291781425476,2026-05-03 16:44:55.737214,2026-05-03 16:45:30.636758,0 days 00:00:34.899544,0.0007808334037382337,0.020126370278281378,97,0.014251265511507804,PRUNED
12,4.768752479553223,2026-05-03 16:45:30.643766,2026-05-03 16:46:54.748046,0 days 00:01:24.104280,0.0008607956916180371,0.06318486146388179,96,0.07953577972575995,COMPLETE
13,4.814082098007202,2026-05-03 16:46:54.759741,2026-05-03 16:48:18.873355,0 days 00:01:24.113614,0.0008552690944989736,0.0988776477181727,83,0.06104175194015926,COMPLETE
14,0.6931633949279785,2026-05-03 16:48:18.884267,2026-05-03 16:48:53.805642,0 days 00:00:34.921375,0.000980187341053109,0.09946964503851798,77,0.06815307948277138,PRUNED
15,4.814649844169617,2026-05-03 16:48:53.813139,2026-05-03 16:50:17.893035,0 days 00:01:24.079896,0.0011096364938261358,0.09914470939568146,81,0.07031495589772771,COMPLETE
16,0.848962128162384,2026-05-03 16:50:17.903490,2026-05-03 16:50:36.323952,0 days 00:00:18.420462,0.0003848467079193883,0.0649827455093205,100,0.11594529375524984,PRUNED
17,0.6883125901222229,2026-05-03 16:50:36.333812,2026-05-03 16:51:11.133789,0 days 00:00:34.799977,0.0010970255138685193,0.05885469990224173,85,0.05677812575075193,PRUNED
18,4.835763549804687,2026-05-03 16:51:11.140878,2026-05-03 16:52:35.234948,0 days 00:01:24.094070,0.0007662466685976541,0.0886716582498395,77,0.08689915021447986,COMPLETE
19,0.8755378127098083,2026-05-03 16:52:35.245921,2026-05-03 16:52:53.721411,0 days 00:00:18.475490,0.0002821742419641725,0.010381301545507121,93,0.03129935891878301,PRUNED
20,0.6554206013679504,2026-05-03 16:52:53.731263,2026-05-03 16:53:45.015632,0 days 00:00:51.284369,0.0005398417377880896,0.05352997241703732,47,0.05485934452093609,PRUNED
